"Bring it closer.",1
"My family is closer.",1
"What do they like?",1
"How is that good?",1
"Need help here?",1
"Yes, you have it right.",1
"I tell you my family is not hungry.",1
"Bring my computer here, please.",1
"They hope that.",1
"You like it?",1
"Tell my family they are not hungry.",1
"Computer is not okay.",1
"Do it.",1
"They need my glasses.",1
"I am closer.",1
"They need it outside.",1
"Yes, I do.",1
"Tell my nurse you are hungry.",1
"They feel very good.",1
"My family is going up.",1
"Goodbye.",1
"Are they thirsty?",1
"I hope it is going.",1
"Please, not like that.",1
"I hope it is good.",1
"You have family.",1
"Are you very thirsty?",1
"My family is going.",1
"Do they have my computer?",1
"Not right.",1
"Are you it?",1
"No, I am not very tired.",1
"Hello.",1
"I have it right here.",1
"Please tell my family I need my glasses.",1
"Is my family going up?",1
"I hope you do not need nurse.",1
"Is my nurse hungry?",1
"They are not coming here.",1
"What is comfortable?",1
"How are they coming up?",1
"Am I going?",1
"They are going.",1
"No please.",1
"How do they do it here?",1
"You do not clean it up.",1
"That is not very good.",1
"You are coming here.",1
"Is my nurse okay?",1
"You like music?",1
"Do I have music?",1
"My computer is good.",1
"What you are.",1
"Where you are.",1
"Is it not good?",1
"Please tell my nurse I am going up.",1
"Do they?",1
"I bring it right up.",1
"They are not.",1
"My family is going here.",1
"Not that bad.",1
"I feel very good.",1
"What is it where?",1
"They tell you.",1
"They tell you my nurse is comfortable.",1
"Clean up please.",1
"How thirsty am I?",1
"How tired is my family?",1
"I hope it is okay.",1
"Yes, you are coming here.",1
"They hope I have faith.",1
"Yes, you have it.",1
"I hope my nurse is hungry.",1
"You hope they are closer.",1
"Closer please.",1
"I hope that is.",1
"I am not like that.",1
"They feel very comfortable.",1
"Where you like.",1
"I hope I need my nurse.",1
"They hope you are going.",1
"I am you.",1
"Are you coming?",1
"Tell my nurse you are not thirsty.",1
"That it is not.",1
"I hope you are.",1
"Please tell my nurse I need my music.",1
"Nurse is bad.",1
"That is not very bad.",1
"No, I am not comfortable.",1
"That is good.",1
"Clean up here.",1
"I am that good.",1
"Music is not good.",1
"Do I tell you?",1
"My family is right here.",1
"Yes, my nurse is going here.",1
"Where is my success?",1
"Tell my family I am thirsty.",1
"They like it outside.",1
"Clean up.",1
"I have it like that.",1
"I feel hope.",1
"Yes, I feel very thirsty.",1
"I have it up.",1
"I need success.",1
"I hope they help you.",1
"I hope I need my music.",1
"What is good?",1
"Do not do that.",1
"Is my music very bad?",1
"Faith is okay.",1
"Bad music.",1
"I need my nurse right here.",1
"My nurse is not hungry.",1
"Hope you like it.",1
"They need you.",1
"Tell my nurse hello.",1
"They are not hungry.",1
"It is very bad.",1
"I am not okay.",1
"I hope they have faith.",1
"Do you feel that?",1
"You are good.",1
"Tell my family they are not thirsty.",1
"I am not hungry.",1
"Is it okay?",1
"They tell you I am hungry.",1
"Tell my family goodbye.",1
"Here that is.",1
"I like my faith.",1
"Tell my nurse I feel comfortable.",1
"I hope you do that.",1
"Need it?",1
"I hope they have.",1
"Tell my nurse I am not thirsty.",1
"I do not clean it up.",1
"It is up.",1
"I hope you are right.",1
"Do you have it right?",1
"They clean it.",1
"They clean my glasses.",1
"I tell you I do not feel comfortable.",1
"Please do it.",1
"Tell my family I do not feel comfortable.",1
"They do have.",1
"They hope my family is closer.",1
"No, they do not clean it up.",1
"Faith is not good.",1
"Hope you are not hungry.",1
"Hope you are comfortable.",1
"Is my nurse thirsty?",1
"They have no success.",1
"I like my computer.",1
"I hope I do not need it.",1
"They do it.",1
"They have no need.",1
"I hope you are going.",1
"Have it.",1
"You are going outside.",1
"Do you what?",1
"I am like you.",1
"My music is not okay.",1
"They need success.",1
"Where are you, up?",1
"Yes, you need it.",1
"You what?",1
"Do they have it?",1
"Tell my family they do not feel hungry.",1
"Goodbye please.",1
"No music here.",1
"I hope they are going.",1
"Do you have my music?",1
"Yes, it is goodbye.",1
"Are my glasses bad?",1
"I hope they are thirsty.",1
"That is very comfortable.",1
"You hope my family is here.",1
"How good are you?",1
"I do not feel hungry.",1
"I like help.",1
"My faith is right here.",1
"Am I coming up?",1
"You do it.",1
"Coming up.",1
"Computer is no good.",1
"Yes, I feel good.",1
"Where you need it.",1
"I am coming.",1
"Clean that up.",1
"You feel bad.",1
"What do I have?",1
"I like music.",1
"You feel good.",1
"Not very bad.",1
"They tell you I am comfortable.",1
"No, they are not going.",1
"Yes, they have.",1
"You clean my computer.",1
"Do you like that?",1
"You are right here.",1
"Tell my family they are not comfortable.",1
"Where is that help?",1
"My nurse is very good.",1
"I need music.",1
"What do you tell my nurse?",1
"Hope you feel.",1
"Goodbye what?",1
"What is okay?",1
"Do i?",1
"Yes, I am tired.",1
"It is that bad.",1
"You are closer.",1
"Are my glasses very good?",1
"Tell my family I am not comfortable.",1
"Is my family good?",1
"Please have faith.",1
"My family is not going outside.",1
"No, I do not feel very comfortable.",1
"You hope it is goodbye.",1
"You need it here.",1
"I like how comfortable my family is.",1
"Very good here.",1
"Tell my nurse I do not feel hungry.",1
"No, I do not feel comfortable.",1
"Tell my family they are thirsty.",1
"My nurse is not good.",1
"It is that good.",1
"I like my nurse.",1
"Do you have it coming?",1
"My nurse is not very tired.",1
"I need my nurse.",1
"Please do.",1
"I need my computer right here.",1
"I like how they tell it.",1
"No, my nurse is not coming here.",1
"What is that like?",1
"They do not like my family.",1
"My faith is good.",1
"Going good.",1
"How they do.",1
"They are not clean.",1
"I am not good.",1
"My success is closer.",1
"You do that.",1
"How do you do what?",1
"Have not.",1
"That is not comfortable.",1
"You are very tired.",1
"Yes, like that.",1
"Where is my family going?",1
"Tell my family I am comfortable.",1
"My music is my hope.",1
"Where are they?",1
"They do not.",1
"You are.",1
"They do not have nurse.",1
"They do here.",1
"You are going.",1
"I hope you do okay.",1
"It is coming here.",1
"Yes, I am going here.",1
"They hope you have faith.",1
"How bad is it going?",1
"You are tired.",1
"Hope they feel right.",1
"Hope is coming.",1
"How do you do it right here?",1
"Have faith.",1
"I hope you have hope.",1
"What is where?",1
"How thirsty is my family?",1
"Do you have it here?",1
"Yes, I am coming here.",1
"Very not good.",1
"Please tell my family I need my computer.",1
"I have no music.",1
"I clean up.",1
"They hope I have my glasses.",1
"You need my faith.",1
"I hope they feel good.",1
"I am very good.",1
"Very good music.",1
"I clean it.",1
"Yes, my nurse is coming here.",1
"What do they tell my family?",1
"Bring up.",1
"Do you need help?",1
